experiment_id,model_name,image_size,use_preprocessing,use_pretrained,use_augmentation,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,checkpoint
efficientnet_b0_224_raw_pt_aug,efficientnet_b0,224,False,True,True,0.8401015228426396,0.8944112845627997,0.8372297297297296,0.8296683824605355,0.963719907072277,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_224_raw_pt_aug.pt
efficientnet_b0_224_prep_pt_aug,efficientnet_b0,224,True,True,True,0.8248730964467005,0.8753021700753648,0.8222297297297297,0.8049398450526617,0.971594984353407,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_224_prep_pt_aug.pt
vgg11_224_prep_pt_aug,vgg11,224,True,True,True,0.8096446700507615,0.8663901693825042,0.8014071680376029,0.79085044695986,0.9517481565392942,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_224_prep_pt_aug.pt
vgg11_128_prep_pt_aug,vgg11,128,True,True,True,0.8020304568527918,0.8510680913578982,0.8024647473560517,0.7734042553191489,0.9397550013575754,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_128_prep_pt_aug.pt
vgg11_224_raw_pt_aug,vgg11,224,False,True,True,0.799492385786802,0.811483028390302,0.7983580941189636,0.7743213438682868,0.9442059792577724,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_224_raw_pt_aug.pt
efficientnet_b0_128_prep_pt_aug,efficientnet_b0,128,True,True,True,0.7944162436548223,0.8700101501168573,0.7957432432432432,0.7578777623603254,0.9520395747570143,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_128_prep_pt_aug.pt
vgg11_128_raw_pt_aug,vgg11,128,False,True,True,0.7944162436548223,0.8295862607338017,0.7884139108052152,0.7751839186679729,0.9400450403060057,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_128_raw_pt_aug.pt
efficientnet_b0_128_raw_pt_aug,efficientnet_b0,128,False,True,True,0.766497461928934,0.8515302943150225,0.7577027027027027,0.727720821983117,0.9371554586230613,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_128_raw_pt_aug.pt
vgg11_224_prep_scratch_aug,vgg11,224,True,False,True,0.7588832487309645,0.8106327795112617,0.7531758155671199,0.7214278092417669,0.8870381577278152,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_224_prep_scratch_aug.pt
vgg11_224_raw_scratch_aug,vgg11,224,False,False,True,0.7538071065989848,0.8190218135158254,0.7549197023110067,0.7062506553649822,0.8999340957505638,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_224_raw_scratch_aug.pt
vgg11_128_prep_scratch_aug,vgg11,128,True,False,True,0.7461928934010152,0.7869002092022332,0.7414159811985899,0.6981386117826448,0.8876927544043092,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_128_prep_scratch_aug.pt
efficientnet_b0_224_prep_scratch_aug,efficientnet_b0,224,True,False,True,0.7258883248730964,0.7985526393481341,0.7195520675955458,0.6721912438956774,0.889563535220416,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_224_prep_scratch_aug.pt
efficientnet_b0_224_raw_scratch_aug,efficientnet_b0,224,False,False,True,0.7157360406091371,0.7615124432006259,0.7164263331654637,0.6797838392469882,0.8893693113707656,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_224_raw_scratch_aug.pt
vgg11_128_raw_scratch_aug,vgg11,128,False,False,True,0.7131979695431472,0.7612881525289161,0.6947739354261093,0.6695811954109918,0.8636849476311061,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/vgg11_128_raw_scratch_aug.pt
efficientnet_b0_128_raw_scratch_aug,efficientnet_b0,128,False,False,True,0.6852791878172588,0.7365718251214435,0.6796063454759107,0.6431520249043239,0.8760855043391117,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_128_raw_scratch_aug.pt
efficientnet_b0_128_prep_scratch_aug,efficientnet_b0,128,True,False,True,0.682741116751269,0.7194325439578912,0.6700177662134184,0.6277222202579021,0.8750542540001164,/home/liyinqi/codes/temp/outputs_2nets-exps_e20_lr3e-4/checkpoints/efficientnet_b0_128_prep_scratch_aug.pt
